Year,State,City,SchoolName,NcesCharterSchool,NcesMagnetSchool,SchoolLevel,Nces Total Enrollment,Low Grade,High Grade,Percent FRL,EEI Score,EEI Category,Math Est Prof,Math Ach Cat,Reading Est Prof,Reading Ach Cat,Percent Nat Am,Percent Asian,Percent Hispanic,Percent Black,Percent White,Percent Pac Isl,Percent Two Or More Races
2015,New York,New York,P.S. 682 The Academy of Talented Scholars,,,Elem,356,K,5,44%,90.6,Far Above Average,64%,Green,55%,Green,0%,19%,14%,5%,62%,-,1%
2015,New York,New York,Mott Hall Ii,,,Middle,335,6,8,43%,90.5,Far Above Average,58%,Green,55%,Green,1%,7%,39%,25%,26%,-,1%
2015,Texas,Fort Worth,Tanglewood Elementary School,,,Elem,751,K,5,6%,90.3,Far Above Average,83%,Green,78%,Green,1%,7%,8%,3%,76%,0%,4%
2015,Texas,Dallas,George Bannerman Dealey Montessori,,Magnet,Elem,439,K,6,42%,90.2,Far Above Average,68%,Green,51%,Green,0%,12%,34%,10%,38%,0%,6%
2015,North Carolina,Cary,Triangle Math and Science Academy,Charter,,"Elem, Middle",458,K,9,12%,90.2,Far Above Average,76%,Green,74%,Green,0%,56%,4%,18%,21%,0%,2%
2015,California,Fremont,Mission San Jose High School,,Magnet,High,2129,9,12,3%,90.1,Far Above Average,67%,Green,64%,Green,0%,91%,2%,1%,6%,0%,1%
2015,New York,New York,Ps 188 Kingsbury,,,Elem,693,K,5,22%,90.1,Far Above Average,71%,Green,70%,Green,0%,57%,7%,2%,32%,-,2%
2015,Indiana,Indianapolis,Gambold Preparatory Magnet High School,,,High,-,9,11,-,90,Far Above Average,53%,Green,44%,Green,-,-,-,-,-,-,-
2015,California,Carlsbad,Pacific Rim Elementary School,,,Elem,866,K,5,6%,90,Above Average,77%,Green,80%,Green,0%,13%,9%,2%,72%,1%,4%
2015,Illinois,Chicago,Stem Magnet Academy Elementary,,,Elem,392,K,5,41%,90,Far Above Average,58%,Green,64%,Green,0%,20%,28%,31%,18%,1%,2%
2015,New York,New York,Jhs 104 Simon Baruch,,,Middle,1073,6,8,62%,89.8,Above Average,52%,Green,47%,Green,1%,44%,20%,9%,25%,-,1%
2015,Arizona,Mesa,Franklin at Brimhall Elementary School,,,Elem,891,K,6,26%,89.7,Above Average,69%,Green,60%,Green,0%,2%,13%,2%,81%,0%,1%
2015,New York,New York,P.S. 115 Glen Oaks,,,Elem,666,K,5,44%,89.7,Above Average,59%,Green,56%,Green,1%,69%,13%,6%,9%,-,2%
2015,Texas,Plano,Harrington Elementary School,,,Elem,427,K,5,27%,89.6,Above Average,76%,Green,63%,Green,0%,23%,15%,9%,48%,0%,5%
2015,California,San Francisco,Chinese Immersion School At Deavila,,,Elem,397,K,5,19%,89.5,Above Average,63%,Green,73%,Green,0%,65%,4%,1%,16%,0%,14%
2015,Missouri,St. Louis,Sappington Elementary School,,,Elem,659,K,5,33%,89.4,Above Average,64%,Green,59%,Green,0%,4%,5%,1%,85%,0%,4%
2015,Texas,Allen,Beverly Elementary School,,,Elem,488,K,5,12%,89.3,Above Average,71%,Green,80%,Green,0%,36%,9%,5%,46%,0%,4%
2015,Washington,Spokane,Bryant Center,,,"Elem, Middle, High",619,K,12,30%,89.3,Above Average,46%,Green,62%,Green,0%,2%,11%,1%,77%,0%,9%
2015,California,San Francisco,Giannini (A.P.) Middle School,,,Middle,1175,6,8,54%,89.3,Above Average,51%,Green,50%,Green,1%,63%,9%,5%,14%,1%,7%
2015,California,San Diego,Mt. Everest Academy,,,"Elem, Middle, High",282,K,12,20%,89.2,Above Average,62%,Green,91%,Green,1%,6%,20%,1%,60%,0%,12%
2015,Texas,San Antonio,Tejeda Middle School,,,Middle,1175,6,8,14%,89.1,Above Average,74%,Green,59%,Green,0%,8%,37%,4%,47%,0%,4%
2015,Arizona,Tucson,Academy of Math and Science,Charter,,"Elem, Middle",412,K,8,75%,89,Above Average,53%,Green,52%,Green,4%,2%,64%,6%,19%,0%,5%
2015,Texas,Houston,River Oaks Elementary School,,Magnet,Elem,680,K,5,10%,89,Above Average,89%,Green,80%,Green,0%,25%,17%,7%,43%,0%,7%
2015,California,Long Beach,Naples Elementary School,,,Elem,364,K,5,9%,88.9,Above Average,68%,Green,68%,Green,0%,6%,12%,3%,59%,0%,20%
2015,Texas,Houston,Cornerstone Academy,Charter,,Middle,370,6,8,31%,88.8,Above Average,64%,Green,53%,Green,1%,11%,34%,2%,50%,0%,3%
2015,Texas,Richardson,Miller Elementary School,,,Elem,427,K,5,12%,88.8,Above Average,66%,Green,96%,Green,0%,29%,9%,10%,46%,0%,5%
2015,California,Pomona,International Polytechnic High School,,,High,547,9,12,24%,88.7,Above Average,48%,Green,59%,Green,0%,17%,62%,2%,15%,0%,3%
2015,California,Garden Grove,Patton Elementary School,,,Elem,1006,K,6,26%,88.6,Above Average,62%,Green,57%,Green,0%,37%,19%,1%,38%,0%,5%
2015,New York,New York,Ps Is 266,,,"Elem, Middle",687,K,8,48%,88.6,Above Average,57%,Green,55%,Green,1%,46%,21%,10%,22%,-,1%
2015,New York,New York,Jhs 167 Robert F Wagner,,,Middle,1364,6,8,47%,88.5,Above Average,54%,Green,49%,Green,1%,28%,22%,10%,38%,-,2%
2015,California,Los Angeles,Roscomare Road Elementary School,,,Elem,469,K,5,6%,88.1,Above Average,77%,Green,77%,Green,0%,7%,3%,3%,81%,1%,6%
2015,Louisiana,Shreveport,Eden Gardens Fundamental Elementary School,,Magnet,Elem,489,K,5,15%,88,Above Average,60%,Green,83%,Green,0%,6%,3%,23%,64%,0%,3%
2015,North Carolina,Charlotte,Piedmont Open Middle School,,Magnet,Middle,991,6,8,35%,87.8,Above Average,57%,Green,50%,Green,1%,8%,7%,60%,20%,0%,4%
2015,Colorado,Denver,Denver School Of The Arts,,,"Middle, High",1086,6,12,12%,87.7,Above Average,63%,Green,65%,Green,0%,5%,14%,7%,69%,0%,6%
2015,New York,New York,Ps 196 Grand Central Parkway,,,Elem,796,K,5,22%,87.6,Above Average,66%,Green,59%,Green,0%,37%,13%,3%,39%,-,7%
2015,Texas,Pearland,Shadycrest Elementary School,,,Elem,588,K,4,15%,87.6,Above Average,74%,Green,66%,Green,0%,5%,23%,7%,61%,0%,4%
2015,Arizona,Tempe,Ward Traditional Academy,,,"Elem, Middle",483,K,8,27%,87.6,Above Average,65%,Green,63%,Green,0%,6%,27%,5%,54%,1%,7%
2015,California,Sacramento,Arnold Adreani Elementary School,,,Elem,836,K,6,29%,87.5,Above Average,61%,Green,58%,Green,0%,35%,18%,5%,31%,1%,11%
2015,New York,New York,Ps 186 Castlewood,,,Elem,394,K,5,34%,87.5,Above Average,64%,Green,58%,Green,1%,35%,20%,13%,31%,-,1%
2015,Washington,Tacoma,Science And Math Institute,,,High,459,9,12,38%,87.5,Above Average,61%,Green,62%,Green,1%,8%,8%,10%,71%,1%,1%
2015,Massachusetts,Worcester,Worcester Arts Magnet School,,,Elem,404,K,6,36%,87.5,Above Average,64%,Green,60%,Green,0%,4%,22%,13%,53%,0%,8%
2015,Texas,San Antonio,Encino Park Elementary School,,,Elem,626,K,5,12%,87.4,Above Average,72%,Green,74%,Green,1%,6%,33%,2%,53%,0%,5%
2015,Arizona,Gilbert,Riggs Elementary School,,,Elem,1024,K,6,13%,87.4,Above Average,76%,Green,57%,Green,1%,3%,14%,3%,75%,0%,3%
2015,Oregon,Eugene,South Eugene High School,,,High,1435,9,12,25%,87.4,Above Average,56%,Green,64%,Green,1%,6%,8%,2%,73%,0%,10%
2015,Texas,Laredo,Col Santos Benavides Elementary School,,,Elem,948,K,5,36%,87.2,Above Average,61%,Green,52%,Green,0%,2%,95%,1%,2%,0%,0%
2015,California,San Diego,Del Norte High School,,,High,1933,9,12,10%,87.2,Above Average,63%,Green,61%,Green,0%,34%,10%,3%,48%,0%,4%
2015,Illinois,Naperville,Robert Clow Elementary School,,,Elem,433,K,5,15%,87,Above Average,60%,Green,69%,Green,0%,17%,12%,3%,66%,0%,2%
2015,Arizona,Tucson,Borman Elementary School,,,Elem,450,K,5,35%,86.8,Above Average,66%,Green,51%,Green,0%,2%,25%,6%,53%,1%,13%
2015,Nebraska,Omaha,Loveland Elementary School,,,Elem,294,K,6,22%,86.8,Above Average,68%,Green,69%,Green,0%,13%,6%,7%,70%,0%,4%
2015,New York,New York,Ms 260 Clinton School Writers And Artists,,,Middle,270,6,8,20%,86.8,Above Average,52%,Green,62%,Green,2%,15%,15%,6%,61%,-,1%
2015,Oregon,Eugene,Spencer Butte Middle School,,,Middle,448,6,8,32%,86.8,Above Average,58%,Green,50%,Green,0%,3%,10%,3%,73%,0%,11%
2015,Ohio,Cincinnati,Walnut Hills High School,,,"Elem, Middle, High",2591,5,12,21%,86.8,Above Average,63%,Green,64%,Green,0%,4%,2%,30%,57%,0%,6%
2015,Texas,San Antonio,Roan Forest Elementary School,,,Elem,778,K,5,29%,86.7,Above Average,81%,Green,51%,Green,0%,12%,53%,5%,27%,0%,3%
2015,Texas,San Antonio,Las Lomas Elementary School,,,Elem,537,K,5,19%,86.3,Above Average,70%,Green,74%,Green,1%,9%,42%,4%,40%,0%,5%
2015,Arizona,Phoenix,Kyrene de la Sierra School,,,Elem,613,K,5,9%,86.2,Above Average,76%,Green,60%,Green,0%,9%,13%,4%,65%,0%,8%
2015,Illinois,Chicago,Hawthorne Elementary Scholastic Academy,,Magnet,"Elem, Middle",576,K,8,24%,86.1,Above Average,61%,Green,54%,Green,1%,9%,23%,9%,51%,2%,6%
2015,Ohio,Cincinnati,Mariemont Junior High School,,,Middle,265,7,8,13%,86.1,Above Average,63%,Green,64%,Green,0%,1%,2%,1%,92%,0%,4%
2015,Texas,Austin,Hill Country Middle School,,,Middle,1001,6,8,3%,86,Above Average,80%,Green,75%,Green,0%,10%,12%,1%,73%,0%,3%
2015,Louisiana,Baton Rouge,Sherwood Middle Academic Academy,,Magnet,Middle,752,6,8,20%,86,Above Average,53%,Green,67%,Green,0%,13%,5%,50%,30%,0%,2%
2015,California,Los Angeles,Community Magnet Charter Elementary School,Charter,Magnet,Elem,469,K,5,26%,85.9,Above Average,71%,Green,62%,Green,0%,27%,15%,13%,38%,0%,7%
2015,North Carolina,Charlotte,Jay M Robinson Middle,,,Middle,1101,6,8,10%,85.6,Above Average,69%,Green,55%,Green,0%,16%,7%,8%,67%,0%,2%
2015,California,Ventura,Mound Elementary School,,Magnet,Elem,576,K,5,9%,85.3,Above Average,68%,Green,66%,Green,0%,7%,18%,1%,64%,0%,9%
2015,Tennessee,Memphis,Campus School,,,Elem,-,1,6,-,85.2,Above Average,71%,Green,68%,Green,-,-,-,-,-,-,-
2015,Texas,Houston,Lanier Middle School,Charter,Magnet,Middle,1392,6,8,30%,85.2,Above Average,56%,Green,49%,Green,0%,14%,37%,9%,35%,0%,4%
2015,Oregon,Portland,Stephenson Elementary School,,,Elem,308,K,5,8%,85.2,Above Average,61%,Green,74%,Green,1%,6%,4%,1%,81%,1%,6%
2015,Arizona,Tucson,Sonoran Science Academy - Tucson,Charter,,"Elem, Middle, High",694,K,12,33%,85.1,Above Average,54%,Green,56%,Green,1%,11%,28%,5%,51%,0%,5%
2015,Ohio,Akron,Manchester Middle School,,,Middle,431,5,8,31%,85,Above Average,55%,Green,58%,Green,0%,0%,0%,1%,96%,0%,2%
2015,Illinois,Naperville,Kingsley Elementary School,,,Elem,432,K,5,16%,84.9,Above Average,64%,Green,61%,Green,0%,15%,6%,2%,74%,0%,3%
2015,New York,New York,P.S. 41 Greenwich Village,,,Elem,751,K,5,4%,84.8,Above Average,68%,Green,67%,Green,0%,9%,10%,2%,69%,-,10%
2015,Louisiana,Baton Rouge,B. R. Foreign Language Academy Immersion Magnet,,Magnet,Elem,299,K,5,25%,84.7,Above Average,67%,Green,61%,Green,0%,2%,5%,64%,29%,0%,0%
2015,Arizona,Chandler,Chandler Traditional Academy - Goodman,,,Elem,711,K,6,19%,84.7,Above Average,66%,Green,62%,Green,1%,14%,20%,6%,54%,0%,4%
2015,Texas,McKinney,Dean And Mildred Bennett Elementary School,,,Elem,491,K,5,7%,84.7,Above Average,84%,Green,75%,Green,0%,7%,15%,8%,67%,0%,3%
2015,Indiana,Fort Wayne,Cedarville Elementary School,,,Elem,668,K,3,17%,84.6,Above Average,68%,Green,55%,Green,0%,1%,4%,1%,91%,0%,3%
2015,Ohio,Dayton,Dr John Hole Elementary School,,,Elem,343,2,5,12%,84.6,Above Average,73%,Green,56%,Green,0%,11%,3%,3%,80%,0%,2%
2015,Texas,San Antonio,Bulverde Creek Elementary School,,,Elem,923,K,5,22%,84,Above Average,59%,Green,63%,Green,1%,5%,45%,5%,42%,0%,4%
2015,California,Oakland,Chabot Elementary School,,,Elem,573,K,5,16%,83.9,Above Average,63%,Green,56%,Green,0%,7%,9%,11%,60%,0%,13%
2015,Arizona,Peoria,Happy Valley School,Charter,,Elem,750,K,6,14%,83.8,Above Average,62%,Green,65%,Green,0%,13%,7%,4%,72%,0%,4%
2015,Kansas,Overland Park,Harmony Elementary School,,,Elem,567,K,5,4%,83.8,Above Average,77%,Green,81%,Green,0%,17%,4%,2%,73%,0%,3%
2015,California,Irvine,Stonegate Elementary School,,,Elem,1122,K,6,7%,83.1,Above Average,68%,Green,69%,Green,0%,69%,5%,1%,18%,0%,7%
2015,California,San Diego,Carmel Del Mar Elementary School,,,Elem,560,K,6,8%,82.8,Above Average,69%,Green,63%,Green,0%,30%,12%,1%,52%,0%,6%
2015,Colorado,Fort Collins,Kinard Core Knowledge Middle School,,,Middle,807,6,8,8%,82.7,Above Average,62%,Green,56%,Green,0%,10%,5%,2%,79%,0%,4%
2015,North Carolina,Charlotte,Providence Spring Elementary,,,Elem,871,K,5,4%,82.6,Above Average,75%,Green,70%,Green,0%,15%,4%,5%,74%,0%,1%
2015,Arizona,Gilbert,Higley Elementary School,,,"Elem, Middle",645,K,8,20%,82.5,Above Average,62%,Green,52%,Green,0%,9%,21%,4%,60%,0%,5%
2015,Virginia,Virginia Beach,Kingston Elementary School,,,Elem,552,K,5,7%,82.2,Above Average,74%,Green,75%,Green,0%,4%,7%,2%,83%,0%,4%
2015,Illinois,Naperville,Fry Elementary School,,,Elem,589,K,5,6%,81.4,Above Average,78%,Green,55%,Green,0%,39%,2%,4%,50%,0%,5%
2015,California,San Diego,Solana Pacific Elementary School,,,Elem,577,4,6,3%,80.9,Above Average,68%,Green,64%,Green,0%,31%,5%,1%,58%,0%,4%
2015,California,Fremont,William Hopkins Junior High School,,,Middle,990,7,8,3%,80.9,Above Average,68%,Green,58%,Green,0%,92%,1%,0%,6%,0%,1%
2015,Texas,Austin,Gorzycki Middle School,,,Middle,1330,6,8,5%,80.7,Above Average,62%,Green,66%,Green,0%,7%,24%,2%,63%,0%,4%
2015,Oregon,Portland,Winterhaven School,,,"Elem, Middle",346,K,8,11%,80.2,Above Average,64%,Green,52%,Green,0%,3%,4%,2%,82%,1%,9%
2015,Nebraska,Omaha,Standing Bear Elementary School,,,Elem,562,K,4,23%,80.1,Above Average,61%,Green,51%,Green,0%,5%,7%,9%,72%,0%,7%
2015,Texas,Frisco,Roach Middle School,,,Middle,963,6,8,16%,79.7,Above Average,59%,Green,49%,Green,1%,15%,14%,15%,52%,1%,3%
2015,Washington,Everett,Gateway Middle School,,,Middle,810,6,8,12%,79.6,Above Average,57%,Green,60%,Green,0%,18%,10%,1%,61%,0%,9%
2015,Texas,Frisco,Curtsinger Elementary School,,,Elem,624,K,5,6%,79,Above Average,72%,Green,73%,Green,0%,17%,13%,5%,61%,0%,5%
2015,North Carolina,Charlotte,Polo Ridge Elementary,,,Elem,1036,K,5,6%,78.8,Above Average,68%,Green,58%,Green,0%,25%,5%,6%,61%,0%,2%
2015,New Mexico,Albuquerque,Southwest Secondary Learning Center,Charter,,"Middle, High",263,7,12,22%,78.2,Above Average,46%,Green,62%,Green,3%,4%,31%,3%,58%,0%,0%
2015,California,San Diego,Dingeman Elementary School,,,Elem,832,K,5,6%,78.1,Above Average,58%,Green,66%,Green,0%,46%,7%,1%,35%,0%,11%
2015,Utah,Salt Lake City,Oakwood School,,,Elem,563,K,6,18%,77.9,Above Average,57%,Green,57%,Green,1%,2%,4%,2%,90%,1%,0%
2015,Indiana,Evansville,Scott Elementary School,,,Elem,887,K,6,16%,77.9,Above Average,60%,Green,52%,Green,1%,4%,1%,1%,89%,0%,4%
2015,Kentucky,Lexington,Rosa Parks Elementary School,,,Elem,724,K,5,7%,77.4,Above Average,63%,Green,58%,Green,0%,23%,3%,3%,67%,0%,4%
2015,Oregon,Portland,Lincoln High School,,,High,1586,9,12,10%,77.3,Above Average,43%,Green,58%,Green,0%,9%,8%,3%,74%,0%,6%
2015,Texas,Plano,Fowler Middle School,,,Middle,1001,6,8,7%,76.9,Above Average,66%,Green,53%,Green,0%,47%,8%,7%,36%,0%,2%
2015,Georgia,Atlanta,Lin Elementary School,,,Elem,641,K,5,9%,76.4,Above Average,62%,Green,54%,Green,0%,2%,5%,12%,74%,0%,8%
2015,New Mexico,Albuquerque,Early College Academy,,,High,192,9,12,27%,75.7,Above Average,46%,Green,61%,Green,1%,2%,52%,4%,38%,0%,4%
2015,California,Torrance,Edward J. Richardson Middle School,,,Middle,691,6,8,15%,75.7,Above Average,51%,Green,51%,Green,0%,30%,17%,2%,42%,0%,10%
2015,California,Huntington Beach,Edison High School,,,High,2560,9,12,12%,75.6,Above Average,44%,Green,53%,Green,7%,12%,17%,1%,60%,1%,3%
2015,Texas,Frisco,Maus Middle School,,,Middle,891,6,8,11%,75.6,Above Average,54%,Green,51%,Green,1%,24%,15%,13%,44%,0%,4%
2015,Kansas,Overland Park,Harmony Middle School,,,Middle,562,6,8,7%,75.4,Above Average,55%,Green,56%,Green,0%,16%,4%,3%,73%,0%,4%
2015,California,Huntington Beach,Ralph E. Hawes Elementary School,,,Elem,666,K,5,6%,75.1,Above Average,67%,Green,53%,Green,0%,10%,11%,0%,66%,0%,12%
2015,California,Fullerton,Sunny Hills High School,,Magnet,High,2264,9,12,25%,75,Above Average,41%,Green,51%,Green,0%,52%,28%,2%,16%,0%,2%
2015,California,Fresno,University High School,Charter,,High,486,9,12,10%,74.8,Above Average,40%,Green,56%,Green,1%,29%,25%,3%,41%,0%,2%
2015,California,Fullerton,Troy High School,,Magnet,High,2764,9,12,19%,74.7,Above Average,49%,Green,47%,Green,0%,49%,24%,1%,22%,0%,4%
2015,California,Irvine,Northwood High School,,,High,2173,9,12,7%,72.4,Above Average,43%,Green,47%,Green,1%,56%,6%,1%,32%,0%,4%
2015,California,San Jose,Piedmont Hills High School,,Magnet,High,2215,9,12,28%,72.3,Above Average,43%,Green,48%,Green,0%,63%,23%,3%,6%,0%,5%
2015,Arizona,Yuma,Gowan Science Academy,Charter,,Elem,287,1,4,0%,69.7,Average,64%,Green,57%,Green,1%,3%,47%,1%,43%,1%,3%
2015,Indiana,Fort Wayne,Carroll High School,,,High,2137,9,12,16%,68.1,Average,49%,Green,51%,Green,0%,3%,4%,2%,88%,0%,4%
2015,Arizona,Phoenix,Kyrene Altadena Middle School,,,Middle,1065,6,8,7%,66.8,Average,53%,Green,47%,Green,1%,8%,12%,5%,68%,0%,6%
2015,Kansas,Overland Park,Blue Valley North High School,,,High,1533,9,12,12%,54.8,Average,46%,Green,46%,Green,0%,12%,5%,5%,73%,0%,4%
